,time,id,mood,activity,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,call,screen,sms,circumplex.arousal,circumplex.valence
186,2014-05-05,AS14.05,0.5555555555555554,0.06419639521624437,0.23482289322209784,0.02182932071727388,1.1102230246251566e-17,0.0,0.0,0.041948704075975674,0.01707439652735308,0.0,0.032336112854980545,0.0193548387096774,0.2499275792528592,0.14117647058823526,0.4883333333333334,0.6779388083735909
187,2014-03-24,AS14.06,0.6666666666666665,0.02260536378708579,0.0762147545871107,0.1271221404131107,5.551115123125783e-17,0.0,0.0,0.06062180138342539,0.0114574095175379,0.0,2.7755575615628914e-17,0.0967741935483871,0.1294071765719009,0.0,0.25,0.35587761674718166
188,2014-03-25,AS14.06,0.6666666666666665,0.11881419120288189,0.1704886802965031,0.23284120391146346,2.7755575615628914e-17,0.0,0.02909010184941105,0.04574779721731764,0.0228725245713303,0.0,1.3877787807814457e-17,0.04838709677419355,0.2641027146675975,0.0,0.35,0.4524959742351045
189,2014-03-26,AS14.06,0.8333333333333333,0.14976688775136537,0.18817041739368703,0.23108474116844982,1.850371707708594e-17,0.0,0.0218928389294869,0.036005210772888895,0.05632314669815164,0.0712581539146064,9.25185853854297e-18,0.05376344086021503,0.30670142200795536,0.0,0.44166666666666665,0.5813204508856682
190,2014-03-27,AS14.06,0.6666666666666665,0.16398079712411257,0.211175241496588,0.246042209107847,1.3877787807814457e-17,0.0,0.016419629197115173,0.0308313560294834,0.052842414899563275,0.05344361543595479,6.938893903907228e-18,0.04838709677419352,0.33536710322394725,0.0,0.471875,0.5450885668276971
191,2014-03-28,AS14.06,0.7666666666666666,0.18175784551319868,0.21854911419221174,0.22953018200315226,1.1102230246251566e-17,0.0,0.0149114581829045,0.04076159765424768,0.0690625396950348,0.04881866094453242,5.551115123125783e-18,0.03870967741935481,0.3386896914102029,0.011764705882352917,0.46749999999999997,0.5587761674718196
192,2014-03-29,AS14.06,0.7999999999999998,0.20821033775401662,0.22936741339555083,0.22226545967145298,1.1102230246251566e-17,0.0,0.0149114581829045,0.03422032623788539,0.07662949355290885,0.04881866094453242,5.551115123125783e-18,0.019354838709677396,0.35312701395366874,0.011764705882352917,0.5175,0.6231884057971013
193,2014-03-30,AS14.06,0.7999999999999998,0.21959660928839825,0.18403067499235606,0.19354826530210087,1.1102230246251566e-17,0.06596512531066157,0.0032754174431400803,0.03048812429728564,0.08602087143355522,0.04881866094453242,5.551115123125783e-18,0.025806451612903198,0.35869731703916363,0.05882352941176468,0.5275,0.6360708534621577
194,2014-03-31,AS14.06,0.6666666666666665,0.2274171517604751,0.16787351822015012,0.18074305253535117,1.1102230246251566e-17,0.06596512531066157,0.00293214041779912,0.029897114831659098,0.08254200871838942,0.006063768595768575,5.551115123125783e-18,0.019354838709677396,0.3459342551959799,0.05882352941176468,0.49250000000000005,0.5652173913043478
195,2014-04-01,AS14.06,0.7916666666666665,0.2527054030425823,0.1565129912819878,0.14095431875475048,1.1102230246251566e-17,0.09063583424577899,0.00293214041779912,0.029958356199803797,0.09149809464361972,0.006063768595768575,5.551115123125783e-18,0.03225806451612902,0.33368400517165353,0.05882352941176468,0.48,0.5974235104669886
196,2014-04-02,AS14.06,0.6333333333333333,0.2472548987681126,0.1683418964939927,0.14191272999415147,1.1102230246251566e-17,0.09063583424577899,0.008173186477769202,0.017091403891951094,0.08701859744133363,0.0016764692729562144,5.551115123125783e-18,0.058064516129032226,0.35804813575578287,0.047058823529411736,0.45999999999999996,0.571658615136876
